category,name,slug,logo_file,short_description,short_description_local,description,description_local,address,lat,lng,google_maps_url,google_place_id,phone,email,website,instagram,facebook,opening_hours,hours_source_url,hours_observed_at,google_rating,google_rating_count,rating_observed_at,emergency_24_7,emergency_note,home_visits,specialties,languages_spoken,photo_urls,animals,source_url,observed_at,notes
GROOMING,Psí salón Veselá Labka - Ružinov,psi-salon-vesela-labka-ruzinov,,"Complete dog grooming, bathing, coat trimming, and ultrasonic teeth cleaning.","Kompletná úprava srsti psov, kúpanie, strihanie a ultrazvukové čistenie zubov.",Pet grooming salon located within the SpektraVet veterinary clinic premises on Ružinovská street in Ružinov. Offers full dog grooming services alongside teeth cleaning and general health checks.,,"Ružinovská 1/4814, 821 02 Bratislava",48.158972,17.175269,,,+421 903 494 000,info@veselalabka.sk,https://veselalabka.sk/sk/salony/bratislava-ruzinov,,,,,,,,2026-09-25,,,,,,https://veselalabka.sk/uploads/l1000/vl-ruzinov-3.jpg;https://veselalabka.sk/uploads/vl-ruzinov-1.jpg;https://veselalabka.sk/uploads/vl-ruzinov-4.jpg;https://veselalabka.sk/uploads/vl-ruzinov-5.jpg,dog,https://veselalabka.sk/sk/salony/bratislava-ruzinov,2026-09-20,no Google rating: network branch without separate card (<5 reviews)
GROOMING,Psí salón Veselá Labka - Petržalka,psi-salon-vesela-labka-petrzalka,,"Full dog grooming, bathing, breed haircuts, and ultrasonic teeth cleaning.","Kompletná úprava srsti psov, kúpanie, strihanie plemien a čistenie zubov.",Pet grooming salon located inside the EasyVet veterinary clinic at Mánesovo námestie in Petržalka. Provides grooming services with the convenience of veterinary consultations on site.,,"Mánesovo námestie 7, 851 01 Bratislava",48.128614,17.110867,https://maps.google.com/?cid=16798022007234473738,ChIJ_Z0QmmWPbEcRCq9nDgSQHuk,+421 220 512 097,info@veselalabka.sk,https://veselalabka.sk/sk/salony/bratislava-petrzalka,,,,,,4.6,28,2026-09-25,,,,,,https://veselalabka.sk/uploads/l1000/easyvet-1.jpg;https://veselalabka.sk/uploads/vet-1.jpeg;https://veselalabka.sk/uploads/vet-2.jpg;https://veselalabka.sk/uploads/ev-3.jpg,dog,https://veselalabka.sk/sk/salony/bratislava-petrzalka,2026-09-20,Vstup z Farského ulice; v priestoroch kliniky EasyVet
GROOMING,Dog Culture,dog-culture,dog-culture.png,"Dog grooming, bathing, breed styling, and ozone spa therapy.","Úprava a strihanie psov, kúpanie, rozčesávanie a ozónoterapia.","Dog salon founded in 2017 in Ružinov providing grooming and wellness care for dogs. Services include breed trims, bathing, massages, and ozone spa treatments.",,"Prievozská 32, 821 05 Bratislava",48.148045,17.152321,,,+421 903 511 410,info@dogculture.sk,https://dogculture.sk,,,,,,,,2026-09-25,,,,,,,dog,https://dogculture.sk,2026-09-20,no Google rating: <5 reviews
GROOMING,Psí salón Zuzana,psi-salon-zuzana,,"Dog haircutting, bathing, coat detangling, and gentle claw care.","Strihanie a kúpanie psov, rozčesávanie splstnatených chlpov a pazúriky.","Dog grooming salon on Rezedová street in Ružinov providing coat care, haircuts, and bathing based on years of grooming and dog rescue experience.",,"Rezedová 5, 821 01 Bratislava",48.152249,17.161227,https://maps.google.com/?cid=17686732626512645415,ChIJx-7BxHWJbEcRJw2ZkJ3lc_U,+421 905 556 451,zuzana10jassova@gmail.com,https://salon-pre-psov.sk,,,,,,4.8,24,2026-09-25,,,,,,,dog,https://salon-pre-psov.sk,2026-09-20,
GROOMING,Psí salón My Champ,psi-salon-my-champ,,"Grooming for dogs of all sizes with haircuts, baths, and natural cosmetics.","Úprava psov všetkých veľkostí, strihanie, kúpanie a prírodná kozmetika.","Dog grooming salon in Karlova Ves catering to dogs of all sizes. Specializes in customized haircutting, stress-free handling, and natural cosmetics.",,"Jurigovo námestie 5, 841 04 Bratislava",48.151069,17.060702,https://maps.google.com/?cid=8244331979884902177,ChIJ4QD2gsaLbEcRIbduX0HAaXI,+421 944 342 284,,https://mychamp.sk,,,,,,4.5,56,2026-09-25,,,,,,,dog,https://mychamp.sk,2026-09-20,E-mail na webe neuvedený; kontakt telefonicky
GROOMING,Psí salón Trim štúdio,psi-salon-trim-studio,psi-salon-trim-studio.png,"Grooming and bathing for dogs and cats, hand stripping, and whirlpool baths.","Strihanie a kúpanie psov aj mačiek, trimovanie a perličkové kúpele.","Dog grooming salon in Dúbravka offering complete hairdressing and cosmetic care for dogs of all breeds, as well as cats and rabbits. Services include trimming, bathing, brushing, and styling.",,"Trhová 50, 841 01 Bratislava",48.187896,17.038923,https://maps.google.com/?cid=16152578563005563520,ChIJcQiBIuGLbEcRgEKJfp98KeA,+421 910 990 313,askrzekova@gmail.com,https://trimstudio.sk,,,,,,4.5,29,2026-09-25,,,,,,https://trimstudio.sk/wp-content/uploads/2016/03/slider2.jpg,dog;cat,https://trimstudio.sk/kontakt/,2026-09-20,Salón ponúka úpravu psov aj mačiek
GROOMING,Salón pre psov Terra,salon-pre-psov-terra,salon-pre-psov-terra.webp,"Dog haircuts, bathing, coat recovery packs, and hydromassage ozone spa.","Strihanie psov, kúpanie, regeneračné zábaly a ozónový hydromasážny kúpeľ.","Dog grooming salon located on Hany Meličkovej in Karlova Ves. Provides professional dog haircutting, bathing, brushing, spa treatments, and ozone therapy.",,"Hany Meličkovej 43, 841 05 Bratislava",48.150937,17.051171,https://maps.google.com/?cid=1946954107355271176,ChIJq_cQCiqLbEcRCBDm-nH4BBs,+421 950 873 641,,https://www.salonterra.sk,,,,,,4.8,117,2026-09-25,,,,,,,dog,https://www.salonterra.sk,2026-09-20,E-mail na webe neuvedený; kontakt telefonicky alebo WhatsApp
GROOMING,Laura - salón pre psov,laura-salon-pre-psov,laura-salon-pre-psov.png,"Dog coat styling, breed haircuts, bathing, and gentle detangling.","Strihanie a úprava psov podľa štandardu, kúpanie a rozčesávanie srsti.","Dog grooming salon in Petržalka with over 30 years of grooming experience. Offers gentle, high-quality coat care and styling for pet companions.",,"Námestie Hraničiarov 18, 851 01 Bratislava",48.120251,17.117542,https://maps.google.com/?cid=13744808226119449130,ChIJazC9yAmJbEcRKnq3L0Jev74,+421 944 240 116,,https://laurasalon.sk,,,,,,4.6,124,2026-09-25,,,,,,,dog,https://laurasalon.sk,2026-09-20,E-mail na webe neuvedený; objekt TS-618 za č. 18 (navigácia Osuského 7); objednávky telefonicky alebo osobne
GROOMING,Salón pre psov Labku na to,salon-pre-psov-labku-na-to,,"Dog styling, bathing, coat detangling, and therapeutic mud wraps.","Strihanie psov, kúpanie, rozčesávanie srsti a terapeutické bahenné zábaly.","Dog grooming salon in Vrakuňa providing tailored coat care, bathing, brushing, therapeutic wraps, and breed-standard or owner-requested haircuts.",,"Čiernovodská 6, 821 07 Bratislava",48.139957,17.209653,https://maps.google.com/?cid=15572478063678463974,ChIJtUBjOQKGbEcR5h8e2kqOHNg,+421 904 666 181,,https://labkunato.sk,,,,,,4.7,67,2026-09-25,,,,,,https://labkunato.sk/fotky/bcg.jpg;https://labkunato.sk/fotky/pes1.jpeg,dog,https://labkunato.sk,2026-09-20,E-mail na webe neuvedený; kontakt telefonicky alebo cez Facebook
GROOMING,Dog's Beauty & Wellness,dog-s-beauty-wellness,dogs-beauty-wellness.png,"Dog grooming, bathing, aromatherapy, ozone spa therapy, and hydromassage.","Strihanie psov, kúpanie, aromaterapia, ozónová terapia a hydromasáž.","Pet wellness and grooming salon in Petržalka specializing in comprehensive coat care. Offers haircuts, brushing, aromatherapy, hydromassage, and ozone therapy.",,"Mánesovo námestie 1230/1, 851 01 Bratislava",48.12853,17.113334,,,+421 948 995 901,andrea@dogsbeauty.sk,https://dogsbeauty.sk,,,,,,,,2026-09-25,,,,,,https://dogsbeauty.sk/wp-content/uploads/2026/04/dogsbeauty-ozonoterapia-proti-plznutiu-1024x858.png;https://dogsbeauty.sk/wp-content/uploads/2022/04/dogsbeautyaromaterapia.jpg;https://dogsbeauty.sk/wp-content/uploads/2026/04/dogsbeauty-ozonoterapia-proti-koznycm-ochoreniam-1024x858.png,dog,https://dogsbeauty.sk,2026-09-20,no Google rating: <5 reviews
